"Annot_Gene"	"Annot_Christoforou_Uniprot_G.O_overlap"	"Annot_Christoforou_Uniprot_G.O_sum"	"Annot_HPA_Single_supportive"	"HPA.main.location"	"HPA.Other.loc"	"HPA.Reliability"	"Gene.ontology.cellular.component"	"Uniprot.Subcellular.location"	"overlap"	"clusters"	"assigned_location_Christoforou_Uniprot_G.O_overlap"	"precision_assigned_location_Christoforou_Uniprot_G.O_overlap"	"assigned_location_Christoforou_Uniprot_G.O_sum"	"precision_assigned_location_Christoforou_Uniprot_G.O_sum"	"assigned_location_HPA_Single_supportive"	"precision_assigned_location_HPA_Single_supportive"	"data_Gene"	"data_non_NUM_space"	"data_Christoforou_126"	"data_Christoforou_127N"	"data_Christoforou_127C"	"data_Christoforou_128N"	"data_Christoforou_128C"	"data_Christoforou_129N"	"data_Christoforou_129C"	"data_Christoforou_130N"	"data_Christoforou_131"	"data_Christoforou_130C"	"data_non_NUM_space.1"	"data_Rodriguez_Pineiro_1"	"data_Rodriguez_Pineiro_2"	"data_Rodriguez_Pineiro_3"	"data_Rodriguez_Pineiro_4"	"data_Rodriguez_Pineiro_5"	"data_Rodriguez_Pineiro_6"	"data_Rodriguez_Pineiro_7"	"data_Rodriguez_Pineiro_8"	"data_Rodriguez_Pineiro_9"	"data_Rodriguez_Pineiro_10"	"data_Rodriguez_Pineiro_11"	"data_X"	"data_Cyt.Andreyev"	"data_Nucl.Andreyev"	"data_Microsomes.Andreyev"	"data_PM.Andreyev"	"data_ER.Andreyev"	"data_Mito.Andreyev"	"data_X.1"	"data_Cyt.Carvalho"	"data_Nucl.Carvalho"	"data_Mit.Carvalho"	"data_X.2"	"data_Cyt.Boisvert"	"data_Nucl.Boisvert"	"data_Nucleolus.Boisvert"	"data_X.3"	"data_Cyt.Pinto"	"data_Nucl.Pinto"	"data_Tot.Pinto"	"data_X.4"	"data_Cyt.Choi"	"data_Nucl.Choi"	"data_Pellet.Choi"	"data_Nucl.soluble.Choi"	"data_X.5"	"data_Cyt.Mulvey"	"data_Nucl.Mulvey"	"data_Total.Mulvey"	"data_X.6"	"data_cyt.Bileck"	"data_Nucl.Bileck"	"data_X.7"	"data_Cyt.Thakar"	"data_Nucl.Thakar"	"data_TOT.Thakar"	"data_X.8"	"data_Cyt.Larance"	"data_Nucleus.Larance"	"data_Cytoskeleton.Larance"	"data_Membrane.Larance"
"THOP1"	"CYTOSOL"	"CYTOSOL"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"cytoplasm"	" Cytoplasm"	"overlaps 9"	163	"CYTOSOL"	1	"CYTOSOL"	1	"CYTOSOL"	0.5	"THOP1"	"-"	134	16	18	6	8	6	1	4	1	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	166	12	24	1	1	1	NA	86	13	1	NA	67	20	14	NA	66	1	34	NA	100	1	1	1	NA	55	1	45	NA	100	1	NA	89	1	11	NA	81	1	1	19
"TWF2"	""	""	"PM"	"Plasma membrane"	NA	"Supportive"	"cytoplasm; cytoskeleton; extracellular vesicular exosome; filopodium; growth cone; lamellipodium; myofibril; perinuclear region of cytoplasm; stereocilium"	" Cytoplasm cytoskeleton {ECO:0000269|PubMed:10406962} Cytoplasm perinuclear region {ECO:0000269|PubMed:10406962} Cell projection stereocilium {ECO:0000250} Note=Perinuclear and G-actin-rich cortical actin structure sublocalization"	"overlaps 8"	163	"CYTOSOL"	1	"CYTOSOL"	1	"CYTOSOL"	0.5	"TWF2"	"-"	56	18	16	8	16	16	10	24	24	10	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	148	12	28	1	8	1	NA	92	8	1	NA	87	12	1	NA	36	41	23	NA	100	1	1	1	NA	1	1	1	NA	62	38	NA	88	1	12	NA	92	2	2	3
"TXN"	"CYTOSOL"	"CYTOSOL"	""	"Nucleus;Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; extracellular vesicular exosome; mitochondrion; nucleoplasm; nucleus"	" Nucleus Cytoplasm Secreted Note=Secreted by a leaderless secretory pathway Predominantly in the cytoplasm in non irradiated cells Radiation induces translocation of TRX from the cytoplasm to the nucleus"	"overlaps 10"	163	"CYTOSOL"	1	"CYTOSOL"	1	"CYTOSOL"	0.5	"TXN"	"-"	112	22	22	10	14	8	4	4	4	1	"-"	1	1	1	4	32	44	36	24	22	12	26	NA	150	22	8	12	4	4	NA	75	23	1	NA	83	15	1	NA	83	8	9	NA	100	1	1	1	NA	45	18	37	NA	95	5	NA	75	2	23	NA	87	1	1	12
"TXNDC17"	"CYTOSOL"	"CYTOSOL"	""	NA	NA	NA	"cytosol; extracellular vesicular exosome"	" Cytoplasm "	"overlaps 10"	163	"CYTOSOL"	1	"CYTOSOL"	1	"CYTOSOL"	0.5	"TXNDC17"	"-"	116	18	24	10	18	4	1	4	1	1	"-"	6	66	34	8	14	26	16	10	8	6	6	NA	174	1	26	1	1	1	NA	97	3	1	NA	90	9	1	NA	42	4	53	NA	100	1	1	1	NA	34	7	59	NA	100	1	NA	77	1	23	NA	94	1	1	6
"UBE2N"	"CYTOSOL"	"CYTOSOL"	"NUCLEUS"	"Nucleus"	"Nucleoli"	"Supportive"	"cytoplasm; cytosol; extracellular vesicular exosome; nucleus; protein complex; UBC13-MMS2 complex; UBC13-UEV1A complex; ubiquitin ligase complex"	" Nucleus {ECO:0000269|PubMed:19340006} Cytoplasm {ECO:0000269|PubMed:19340006}"	"overlaps 8"	163	"CYTOSOL"	1	"CYTOSOL"	1	"CYTOSOL"	0.5	"UBE2N"	"-"	76	30	26	14	16	14	6	6	8	6	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	162	8	24	1	1	1	NA	54	45	1	NA	75	24	1	NA	1	1	1	NA	100	1	1	1	NA	40	14	46	NA	96	4	NA	83	1	17	NA	75	1	1	25
"UCHL3"	"CYTOSOL"	"CYTOSOL"	""	"Nucleus;Cytoplasm"	NA	"Supportive"	"cytoplasm; extracellular vesicular exosome; nucleus"	" Cytoplasm"	"overlaps 9"	163	"CYTOSOL"	1	"CYTOSOL"	1	"CYTOSOL"	0.5	"UCHL3"	"-"	112	32	28	10	10	8	1	1	1	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	146	32	22	1	1	1	NA	90	10	1	NA	92	6	1	NA	46	13	41	NA	100	1	1	1	NA	27	5	68	NA	100	1	NA	96	1	4	NA	98	1	1	2
"ADSS"	"CYTOSOL"	"CYTOSOL"	""	"Cytoplasm"	"Plasma membrane"	"Supportive"	"cytoplasm; cytosol; extracellular vesicular exosome; plasma membrane"	" Cytoplasm Note=Partially associated with particulate fractions"	"overlaps 9"	234	"CYTOSOL"	1	"CYTOSOL"	1	"NUCLEUS"	0.5	"ADSS"	"-"	108	24	24	12	16	8	1	1	1	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	116	76	8	1	1	1	NA	71	29	1	NA	86	13	1	NA	30	6	64	NA	100	1	1	1	NA	35	4	61	NA	100	1	NA	82	1	18	NA	99	1	1	1
"APRT"	"CYTOSOL"	"CYTOSOL"	""	"Nucleus but not nucleoli;Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; extracellular vesicular exosome; nucleus"	" Cytoplasm"	"overlaps 9"	234	"CYTOSOL"	1	"CYTOSOL"	1	"NUCLEUS"	0.5	"APRT"	"-"	102	16	28	10	16	10	4	6	6	4	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	152	38	4	4	1	1	NA	66	33	1	NA	86	12	1	NA	15	3	82	NA	100	1	1	1	NA	28	3	69	NA	99	1	NA	87	1	11	NA	82	1	1	18
"ASNA1"	"CYTOSOL"	"CYTOSOL"	"NUCLEUS"	"Nucleoli"	"Nucleus"	"Supportive"	"cytoplasm; endoplasmic reticulum; extracellular vesicular exosome; nucleolus; nucleus"	" Cytoplasm Endoplasmic reticulum Nucleus nucleolus"	"overlaps 9"	234	"CYTOSOL"	1	"CYTOSOL"	1	"NUCLEUS"	0.5	"ASNA1"	"-"	102	22	24	8	12	10	1	8	8	4	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	114	60	14	6	1	6	NA	44	55	1	NA	97	1	1	NA	11	4	85	NA	100	1	1	1	NA	22	6	72	NA	99	1	NA	70	2	28	NA	80	1	1	20
"COTL1"	""	""	""	NA	NA	NA	"cytoplasm; cytoskeleton; extracellular vesicular exosome; membrane; nucleus"	" Cytoplasm cytoskeleton {ECO:0000250} Nucleus membrane; Peripheral membrane protein"	"overlaps 8"	234	"CYTOSOL"	1	"CYTOSOL"	1	"NUCLEUS"	0.5	"COTL1"	"-"	46	48	40	20	28	14	1	1	1	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	142	18	18	18	4	1	NA	1	1	1	NA	94	4	1	NA	1	1	100	NA	100	1	1	1	NA	40	11	49	NA	97	3	NA	78	1	22	NA	89	1	1	11
"ENOPH1"	"CYTOSOL"	"CYTOSOL"	"NUCLEUS"	"Nucleus"	"Nucleoli"	"Supportive"	"cytosol; extracellular vesicular exosome; nucleus"	" Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03117} Nucleus {ECO:0000255|HAMAP-Rule:MF_03117}"	"overlaps 9"	234	"CYTOSOL"	1	"CYTOSOL"	1	"NUCLEUS"	0.5	"ENOPH1"	"-"	120	20	28	6	8	6	4	1	1	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	140	20	42	1	1	1	NA	68	32	1	NA	94	5	1	NA	7	1	93	NA	100	1	1	1	NA	50	8	42	NA	100	1	NA	91	1	9	NA	98	1	1	1
"ESD"	"CYTOSOL"	"CYTOSOL"	""	"Golgi apparatus"	"Cytoplasm"	"Uncertain"	"cytoplasm; cytoplasmic vesicle; extracellular vesicular exosome; Golgi apparatus; nucleus; plasma membrane"	" Cytoplasm Cytoplasmic vesicle"	"overlaps 9"	234	"CYTOSOL"	1	"CYTOSOL"	1	"NUCLEUS"	0.5	"ESD"	"-"	120	22	24	8	12	8	1	1	4	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	110	50	20	1	1	20	NA	77	23	1	NA	88	3	9	NA	28	1	72	NA	100	1	1	1	NA	36	7	57	NA	100	1	NA	76	1	24	NA	94	1	1	6
"GALK1"	"CYTOSOL"	"CYTOSOL"	""	"Cytoplasm"	"Nucleus;Golgi apparatus"	"Uncertain"	"cytoplasm; cytosol; extracellular vesicular exosome; membrane"	NA	"overlaps 9"	234	"CYTOSOL"	1	"CYTOSOL"	1	"NUCLEUS"	0.5	"GALK1"	"-"	104	26	24	10	12	8	4	4	4	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	158	28	14	1	1	1	NA	65	26	9	NA	80	18	1	NA	26	4	70	NA	100	1	1	1	NA	44	12	44	NA	100	1	NA	86	1	14	NA	96	1	1	4
"GCLC"	"CYTOSOL"	"CYTOSOL"	""	"Nucleus;Nucleoli;Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; glutamate-cysteine ligase complex"	NA	"overlaps 8"	234	"CYTOSOL"	1	"CYTOSOL"	1	"NUCLEUS"	0.5	"GCLC"	"-"	90	48	26	14	8	4	6	1	1	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	150	16	36	1	1	1	NA	1	1	1	NA	73	12	15	NA	32	1	68	NA	100	1	1	1	NA	63	1	37	NA	100	1	NA	83	1	17	NA	98	1	1	2
"GDI1"	"CYTOSOL"	"CYTOSOL"	""	"Vesicles"	NA	"Uncertain"	"cytoplasm; cytosol; Golgi apparatus; midbody; neuron projection; protein complex"	" Cytoplasm {ECO:0000269|PubMed:19570034} Golgi apparatus trans-Golgi network {ECO:0000269|PubMed:19570034}"	"overlaps 9"	234	"CYTOSOL"	1	"CYTOSOL"	1	"NUCLEUS"	0.5	"GDI1"	"-"	84	36	32	16	16	10	1	1	1	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	120	34	46	1	1	1	NA	67	33	1	NA	94	5	1	NA	21	8	70	NA	100	1	1	1	NA	55	11	34	NA	97	3	NA	87	1	13	NA	90	1	1	10
"MAP2K1"	""	""	""	"Plasma membrane;Cytoplasm"	NA	"Supportive"	"cell cortex; cytoplasm; cytoskeleton; cytosol; dendrite cytoplasm; early endosome; extracellular vesicular exosome; focal adhesion; Golgi apparatus; late endosome; mitochondrion; nucleus; perikaryon; perinuclear region of cytoplasm; plasma membrane"	" Cytoplasm cytoskeleton microtubule organizing center centrosome Cytoplasm cytoskeleton microtubule organizing center spindle pole body Cytoplasm Nucleus Note=Localizes at centrosomes during prometaphase midzone during anaphase and midbody during telophase/cytokinesis"	"overlaps 9"	234	"CYTOSOL"	1	"CYTOSOL"	1	"NUCLEUS"	0.5	"MAP2K1"	"-"	56	12	12	10	12	14	16	30	26	10	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	136	14	30	8	8	4	NA	44	56	1	NA	84	15	1	NA	1	1	100	NA	100	1	1	1	NA	51	1	49	NA	100	1	NA	76	1	24	NA	78	1	1	21
"PGLS"	"CYTOSOL"	"CYTOSOL"	""	"Nucleus but not nucleoli"	"Cytoplasm"	"Supportive"	"cytosol; extracellular vesicular exosome"	" Cytoplasm "	"overlaps 9"	234	"CYTOSOL"	1	"CYTOSOL"	1	"NUCLEUS"	0.5	"PGLS"	"-"	88	22	16	8	10	12	1	10	22	8	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	134	46	16	1	1	1	NA	76	24	1	NA	92	6	1	NA	24	5	71	NA	100	1	1	1	NA	38	8	55	NA	99	1	NA	94	1	6	NA	92	1	1	8
"PGM1"	"CYTOSOL"	"CYTOSOL"	"CS"	"Cytoskeleton (Actin filaments)"	NA	"Supportive"	"cytoplasm; cytosol; extracellular vesicular exosome"	" Isoform 1: Cytoplasm"	"overlaps 9"	234	"CYTOSOL"	1	"CYTOSOL"	1	"NUCLEUS"	0.5	"PGM1"	"-"	108	30	22	12	12	8	4	1	1	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	156	22	22	1	1	1	NA	72	28	1	NA	94	5	1	NA	35	1	65	NA	100	1	1	1	NA	47	1	53	NA	99	1	NA	89	1	10	NA	92	1	1	8
"PGM3"	"CYTOSOL"	"CYTOSOL"	""	"Nucleus but not nucleoli;Cytoplasm"	"Cytoskeleton (Intermediate filaments);Cytoskeleton (Microtubules);Aggresome"	"Supportive"	"cytosol"	NA	"overlaps 9"	234	"CYTOSOL"	1	"CYTOSOL"	1	"NUCLEUS"	0.5	"PGM3"	"-"	122	26	24	8	12	4	1	1	1	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	178	10	12	1	1	1	NA	94	1	6	NA	90	8	1	NA	18	1	82	NA	100	1	1	1	NA	46	5	49	NA	100	1	NA	91	1	9	NA	99	1	1	1
"PMVK"	"CYTOSOL"	"CYTOSOL"	""	NA	NA	NA	"cytosol; extracellular vesicular exosome; membrane; peroxisome"	" Peroxisome {ECO:0000269|PubMed:10191291}"	"overlaps 9"	234	"CYTOSOL"	1	"CYTOSOL"	1	"NUCLEUS"	0.5	"PMVK"	"-"	90	24	22	6	16	12	10	8	10	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	168	30	1	1	1	1	NA	87	13	1	NA	97	1	1	NA	4	1	95	NA	100	1	1	1	NA	47	5	48	NA	97	3	NA	80	1	20	NA	93	1	1	7
"SRM"	"CYTOSOL"	"CYTOSOL"	""	"Nucleus but not nucleoli"	"Cytoplasm"	"Uncertain"	"cytosol"	NA	"overlaps 9"	234	"CYTOSOL"	1	"CYTOSOL"	1	"NUCLEUS"	0.5	"SRM"	"-"	104	26	32	10	14	6	4	4	1	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	154	20	12	4	1	12	NA	68	32	1	NA	92	6	1	NA	16	3	82	NA	100	1	1	1	NA	47	4	49	NA	100	1	NA	68	1	32	NA	94	1	1	6
"STAT1"	""	""	""	"Nucleus but not nucleoli;Cytoplasm"	NA	"Supportive"	"axon; cytoplasm; cytosol; dendrite; nuclear chromatin; nucleolus; nucleoplasm; nucleus"	" Cytoplasm {ECO:0000269|PubMed:15322115} Nucleus {ECO:0000269|PubMed:15322115} Note=Translocated into the nucleus upon tyrosine phosphorylation and dimerization in response to IFN-gamma and signaling by activated FGFR1 FGFR2 FGFR3 or FGFR4"	"overlaps 9"	234	"CYTOSOL"	1	"CYTOSOL"	1	"NUCLEUS"	0.5	"STAT1"	"-"	48	16	18	8	6	4	6	50	38	6	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	92	86	10	6	6	1	NA	52	48	1	NA	77	20	3	NA	12	1	88	NA	100	1	1	1	NA	45	7	49	NA	100	1	NA	84	1	16	NA	93	1	1	7
"UBA6"	"CYTOSOL"	"CYTOSOL"	""	"Nucleus but not nucleoli;Cytoplasm"	NA	"Uncertain"	"cytoplasm; cytosol"	NA	"overlaps 9"	234	"CYTOSOL"	1	"CYTOSOL"	1	"NUCLEUS"	0.5	"UBA6"	"-"	96	28	26	12	12	10	6	6	4	4	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	154	16	30	1	1	1	NA	76	23	1	NA	75	22	3	NA	17	1	82	NA	100	1	1	1	NA	54	5	41	NA	100	1	NA	77	1	23	NA	98	1	1	2
"WARS"	""	"CYTOSOL"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; extracellular vesicular exosome; nucleus"	" Cytoplasm"	"overlaps 9"	234	"CYTOSOL"	1	"CYTOSOL"	1	"NUCLEUS"	0.5	"WARS"	"-"	82	18	18	8	14	10	6	18	20	8	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	144	40	18	1	1	1	NA	54	46	1	NA	92	6	1	NA	23	1	77	NA	100	1	1	1	NA	56	10	34	NA	97	3	NA	85	1	15	NA	93	1	1	7
"ALDOC"	"CYTOSOL"	"CYTOSOL"	""	"Nucleus;Nucleoli"	"Cytoplasm"	"Uncertain"	"axon; cytoskeleton; cytosol; extracellular vesicular exosome; mitochondrion"	NA	"overlaps 10"	430	"CYTOSOL"	1	"CYTOSOL"	1	"CYTOSOL"	0.75	"ALDOC"	"-"	90	26	30	10	20	12	1	10	1	1	"-"	200	1	1	1	1	1	1	1	1	1	1	NA	134	22	42	1	1	1	NA	72	27	1	NA	58	39	3	NA	83	5	12	NA	80	20	1	1	NA	52	9	38	NA	98	2	NA	77	1	23	NA	93	1	1	7
"ANP32B"	""	""	""	NA	NA	NA	"cytoplasm; extracellular vesicular exosome; nucleus"	" Isoform 1: Nucleus Note=Accumulates in the nuclei at the S phase {ECO:0000250};  Isoform 2: Cytoplasm Note=Lacks a nuclear localization signal"	"overlaps 10"	430	"CYTOSOL"	1	"CYTOSOL"	1	"CYTOSOL"	0.75	"ANP32B"	"-"	122	8	12	4	8	6	6	14	14	6	"-"	200	1	1	1	1	1	1	1	1	1	1	NA	138	30	12	6	12	1	NA	43	55	3	NA	65	34	1	NA	85	8	7	NA	100	1	1	1	NA	50	17	33	NA	93	7	NA	30	4	66	NA	76	1	1	24
